obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
11,600,0.003600715,34.58982131,367.669,126.9395413,12.75351264,36.93940588,0.247312923,2.404519101,0.23400041,0.147386587,237.7256607,28.04963119,27.534,3.692961893,59.51231952,1.500704117,1500,1264.499433,367.669,399.991,21.8202,18.6503,1000.01,27.4911,27.534,400
12,660,0.003600406,34.53742476,367.739,127.6195823,12.82137587,36.94511339,0.247602291,2.403495365,0.234254155,0.147548129,237.7243107,28.05153551,27.53,3.692097841,59.53242899,1.498893956,1499.99,1264.491741,367.739,400.013,21.8304,18.6609,1000.04,27.4927,27.53,400
13,720,0.003625303,34.62914552,367.655,126.4771883,12.70638692,36.93604155,0.247161508,2.403373161,0.233858847,0.147297278,237.7257233,28.06648861,27.57,3.7007463,59.33937041,1.511749236,1500,1264.49978,367.655,400.021,21.7889,18.5972,999.994,27.5154,27.57,400
14,780,0.003595321,34.82943891,367.393,122.5166154,12.30786592,36.90784117,0.244584335,2.402440919,0.23154502,0.145829212,237.7256607,28.16570575,27.7013,3.729259249,59.74456062,1.513721907,1500,1264.499433,367.393,399.927,22.0542,18.8899,1000.04,27.6051,27.7013,400
15,840,0.003663241,34.99656027,367.264,126.2577231,12.683614,36.89465245,0.250113587,2.39878821,0.236476157,0.14896087,237.7262192,28.19613127,27.7576,3.741543888,59.99937426,1.509926938,1500,1264.50009,367.264,399.974,22.2144,18.9905,999.931,27.656,27.7576,400
16,900,0.003660215,34.98752137,367.278,126.802379,12.73808146,36.89534157,0.250631146,2.398280201,0.236936146,0.14925314,237.7262192,28.22137167,27.7727,3.744844702,60.11839045,1.505636468,1500,1264.50009,367.278,399.976,22.2904,19.0697,1000.02,27.6802,27.7727,400
17,960,0.003649043,34.99178662,367.285,126.0777445,12.66542678,36.89645062,0.24980458,2.404229095,0.236228834,0.148801235,237.7257756,28.24171834,27.793,3.749286223,60.17809037,1.505482552,1500,1264.499694,367.285,399.985,22.3359,19.125,999.964,27.6983,27.793,400
18,1020.4,0.003659141,34.954696,367.346,126.5550445,12.71308965,36.90175014,0.249990095,2.408488865,0.23641741,0.148918894,237.7260104,28.2473884,27.7886,3.748323139,60.03870933,1.508447399,1500,1264.500432,367.346,400.014,22.2973,19.0776,1000.03,27.708,27.7886,400
19,1080.4,0.00360231,34.86741926,367.366,123.517934,12.40717353,36.90131112,0.245978028,2.39970392,0.232779818,0.146614151,237.7246344,28.2969388,27.8307,3.757546959,60.19300713,1.507975869,1499.99,1264.49166,367.366,399.938,22.3953,19.2258,999.991,27.738,27.8307,400
20,1140.4,0.003597149,34.94121445,367.385,122.3056011,12.2849998,36.90202747,0.2451818,2.400885015,0.232072532,0.146164711,237.72612,28.32479714,27.8664,3.765384094,60.24852053,1.510250707,1500,1264.500477,367.385,400.022,22.4514,19.2866,999.984,27.7645,27.8664,400
